Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2020,Furto outros 2020,Homicidio culposo outros 2020,Homicidio culposo por acidente 2020,Latrocinio 2020,Lesao culposa outros 2020,Lesao culposa acidente 2020,Lesao dolosa 2020,Vitimas homicidio 2020,Tentativa homicidio 2020,Total estupro 2020,Total roubos 2020
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,2702,11401,1,104,10,39,1378,2814,126,69,231,4999
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,7,59,0,1,0,0,24,23,1,2,3,3
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,172,1424,0,19,1,4,253,428,3,11,65,312
3510,Campinas,350038,Campinas,Jaguariúna,3524709,RA de Campinas,RM de Campinas,90,280,0,5,0,3,108,160,2,4,13,49
3510,Campinas,350038,Campinas,Paulínia,3536505,RA de Campinas,RM de Campinas,155,585,1,4,0,3,240,366,4,7,30,156
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,88,131,0,1,1,3,14,131,0,2,3,34
3510,Campinas,350038,Campinas,Santo Antônio de Posse,3548005,RA de Campinas,RM de Campinas,19,115,0,7,0,0,28,70,0,0,4,20
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,193,556,0,9,0,3,292,317,3,4,21,128
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,49,380,0,4,1,2,129,179,0,6,17,66
3510,Campinas,350039,Jundiaí,Cabreúva,3508405,RA de Campinas,RM de Jundiai,11,197,0,7,0,2,51,119,4,3,14,47
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,125,395,0,2,2,4,92,198,3,8,18,217
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,73,608,0,9,0,8,247,237,8,5,21,172
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,30,290,0,9,0,3,78,185,4,1,12,86
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,22,170,0,6,0,5,38,90,4,8,18,73
3510,Campinas,350039,Jundiaí,Jundiaí,3525904,RA de Campinas,RM de Jundiai,434,3549,0,44,2,21,484,738,15,16,72,920
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,21,270,0,7,0,5,65,106,1,8,9,55
3510,Campinas,350039,Jundiaí,Morungaba,3532009,RA de Campinas,RM de Campinas,7,50,0,0,0,11,17,27,1,1,3,2
3510,Campinas,350039,Jundiaí,Várzea Paulista,3556503,RA de Campinas,RM de Jundiai,128,623,0,3,0,9,94,248,8,5,37,299
3510,Campinas,350041,Bragança Paulista,Atibaia,3504107,RA de Campinas,Demais municípios,85,1103,0,27,2,0,143,425,9,9,49,281
3510,Campinas,350041,Bragança Paulista,Bom Jesus dos Perdões,3507100,RA de Campinas,Demais municípios,23,129,0,2,0,0,8,65,1,0,10,26
3510,Campinas,350041,Bragança Paulista,Bragança Paulista,3507605,RA de Campinas,Demais municípios,149,1176,0,19,0,4,235,447,6,17,20,171
3510,Campinas,350041,Bragança Paulista,Joanópolis,3525508,RA de Campinas,Demais municípios,3,87,0,2,0,0,13,44,0,0,1,5
3510,Campinas,350041,Bragança Paulista,Nazaré Paulista,3532405,RA de Campinas,Demais municípios,12,93,0,3,1,1,14,42,2,0,6,30
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,3,32,0,0,0,0,7,15,0,1,1,1
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,10,76,0,3,0,0,22,34,3,0,0,5
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,17,143,1,1,0,0,27,50,5,2,8,18
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,14,129,0,8,1,3,45,109,3,0,13,17
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,0,54,0,1,0,0,2,17,0,0,1,0
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,6,66,0,3,0,0,3,27,1,1,1,10
3510,Campinas,350043,Mogi Guaçu,Estiva Gerbi,3557303,RA de Campinas,Demais municípios,8,76,0,1,0,1,15,51,1,1,4,9
3510,Campinas,350043,Mogi Guaçu,Itapira,3522604,RA de Campinas,Demais municípios,138,415,0,9,2,2,124,226,0,10,23,114
3510,Campinas,350043,Mogi Guaçu,Mogi Guaçu,3530706,RA de Campinas,Demais municípios,381,1071,1,11,1,3,335,452,6,8,40,275
3510,Campinas,350043,Mogi Guaçu,Mogi Mirim,3530805,RA de Campinas,Demais municípios,177,768,1,12,2,7,217,223,4,4,28,169
3510,Campinas,350048,Amparo,Amparo,3501905,RA de Campinas,Demais municípios,40,269,0,9,0,0,53,146,3,1,19,33
3510,Campinas,350048,Amparo,Lindóia,3527009,RA de Campinas,Demais municípios,5,30,0,3,0,0,22,30,0,1,4,5
3510,Campinas,350048,Amparo,Monte Alegre do Sul,3531209,RA de Campinas,Demais municípios,1,34,0,0,0,1,4,22,0,1,2,2
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,15,145,0,0,0,2,52,104,1,1,10,10
3510,Campinas,350048,Amparo,Águas de Lindóia,3500501,RA de Campinas,Demais municípios,14,103,0,2,0,1,7,30,1,1,6,10
