Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
Brasil,"0,727","0,739","0,816","0,637"
São Paulo,"0,783","0,789","0,845","0,719"
Adamantina (SP),"0,79","0,772","0,852","0,75"
Adolfo (SP),"0,73","0,71","0,844","0,648"
Aguaí (SP),"0,715","0,703","0,858","0,606"
Águas da Prata (SP),"0,781","0,75","0,886","0,716"
Águas de Lindóia (SP),"0,745","0,725","0,846","0,675"
Águas de Santa Bárbara (SP),"0,757","0,744","0,84","0,695"
Águas de São Pedro (SP),"0,854","0,849","0,89","0,825"
Agudos (SP),"0,745","0,705","0,845","0,694"
Alambari (SP),"0,712","0,682","0,805","0,658"
Alfredo Marcondes (SP),"0,741","0,682","0,84","0,71"
Altair (SP),"0,687","0,698","0,8","0,581"
Altinópolis (SP),"0,73","0,726","0,843","0,635"
Alto Alegre (SP),"0,7","0,683","0,817","0,616"
Alumínio (SP),"0,766","0,729","0,841","0,732"
Álvares Florence (SP),"0,728","0,701","0,806","0,683"
Álvares Machado (SP),"0,758","0,712","0,834","0,732"
Álvaro de Carvalho (SP),"0,688","0,669","0,805","0,605"
Alvinlândia (SP),"0,722","0,721","0,791","0,659"
Americana (SP),"0,811","0,8","0,876","0,76"
Américo Brasiliense (SP),"0,751","0,709","0,852","0,701"
Américo de Campos (SP),"0,745","0,715","0,817","0,708"
Amparo (SP),"0,785","0,78","0,871","0,711"
Analândia (SP),"0,754","0,745","0,861","0,668"
Andradina (SP),"0,779","0,762","0,885","0,702"
Angatuba (SP),"0,719","0,693","0,827","0,648"
Anhembi (SP),"0,721","0,681","0,863","0,637"
Anhumas (SP),"0,741","0,683","0,845","0,706"
Aparecida D'Oeste (SP),"0,721","0,697","0,804","0,67"
Aparecida (SP),"0,755","0,735","0,828","0,706"
Apiaí (SP),"0,71","0,662","0,835","0,647"
Araçariguama (SP),"0,704","0,717","0,814","0,597"
Araçatuba (SP),"0,788","0,782","0,841","0,744"
Araçoiaba da Serra (SP),"0,776","0,751","0,86","0,723"
Aramina (SP),"0,74","0,723","0,856","0,656"
Arandu (SP),"0,685","0,675","0,806","0,592"
Arapeí (SP),"0,68","0,634","0,812","0,612"
Araraquara (SP),"0,815","0,788","0,877","0,782"
Araras (SP),"0,781","0,763","0,859","0,728"
Arco-Íris (SP),"0,722","0,671","0,809","0,694"
Arealva (SP),"0,744","0,718","0,84","0,683"
Areias (SP),"0,697","0,627","0,803","0,672"
Areiópolis (SP),"0,695","0,686","0,823","0,594"
Ariranha (SP),"0,733","0,73","0,813","0,663"
Artur Nogueira (SP),"0,749","0,745","0,827","0,681"
Arujá (SP),"0,784","0,761","0,866","0,73"
Aspásia (SP),"0,735","0,699","0,864","0,657"
Assis (SP),"0,805","0,771","0,865","0,781"
Atibaia (SP),"0,765","0,786","0,851","0,67"
Auriflama (SP),"0,773","0,746","0,84","0,738"
Avaí (SP),"0,714","0,674","0,83","0,65"
Avanhandava (SP),"0,705","0,688","0,817","0,623"
Avaré (SP),"0,767","0,751","0,866","0,695"
Bady Bassitt (SP),"0,746","0,737","0,805","0,701"
Balbinos (SP),"0,669","0,69","0,809","0,537"
Bálsamo (SP),"0,756","0,746","0,835","0,695"
Bananal (SP),"0,733","0,693","0,872","0,653"
