,Municipio,Agropecuária,Indústria,Administração pública,Serviços (exceto administração pública),Valor adicionado,Impostos líquido de subsídios,PIB,PIB per capita,Ano
0,Adamantina,36676.315026231176,110761.26959253396,134512.0497280776,517361.50303521566,799311.1373820584,63577.52809995199,862888.6654820105,25482.507397141646,2014
1,Adolfo,28804.45864721926,5853.789701686917,19510.81212020443,21191.091941778835,75360.15241088945,1488.0324464093926,76848.18485729884,21881.60161084819,2014
2,Aguaí,76152.47031170252,223947.006688795,110717.06223991851,288674.64748442953,699491.1867248456,70563.39148007029,770054.5782049159,22957.92076217625,2014
3,Águas da Prata,10992.057119032323,17705.76652658265,28359.216930615374,65634.20220395987,122691.24278019022,8755.054471152362,131446.2972513426,17124.32220575073,2014
4,Águas de Lindóia,5799.540117385929,30370.570457444617,67978.67978596038,243657.69046145838,347806.4808222493,24920.606968895045,372727.0877911444,21021.21074903527,2014
5,Águas de Santa Bárbara,27082.75177112584,10272.663596249018,29010.033864008772,53315.76400433238,119681.21323571602,7187.444251802804,126868.65748751882,22125.681459281273,2014
6,Águas de São Pedro,0,8558.520915990386,17248.61111578972,87171.78469955015,112978.91673133026,6796.8123729519275,119775.72910428219,41588.79482787576,2014
7,Agudos,54751.0367235719,930830.1379075063,134136.3080699631,570599.6687267863,1690317.1514278278,416536.1673001668,2106853.3187279943,59855.48790386074,2014
8,Alambari,20633.558341455147,4730.863891244401,20250.59202624434,19973.154517589537,65588.16877653342,5716.840223805959,71305.00900033939,13597.446415015138,2014
9,Alfredo Marcondes,4921.597803911029,15268.460296555397,16154.900464323093,22529.275635821825,58874.23420061135,14789.326672568533,73663.56087317989,18839.785389560075,2014
10,Altair,54357.33470635448,4998.772096375198,17298.956233847875,19539.208875066946,96194.2719116445,1715.3278312748084,97909.59974291931,25060.046005354317,2014
11,Altinópolis,118795.19479968013,20853.612017922056,58257.91440114671,178381.40939454938,376288.1306132983,15730.04813885926,392018.17875215755,25176.172291577775,2014
12,Alto Alegre,33017.254648067064,9152.678277505032,18266.54953364007,27718.800965855007,88155.28342506717,3415.1394225918875,91570.42284765907,22476.785185974244,2014
13,Alumínio,809.1765807176469,761834.5409359974,73243.64659772135,370476.77183827246,1206364.1359527088,322452.1058772725,1528816.2418299813,88391.31832967052,2014
14,Álvares Florence,34015.85465958345,10734.478864693156,18032.086203263116,21921.345592170645,84703.76531971036,1831.6020987581128,86535.36741846848,22874.799740541494,2014
15,Álvares Machado,24780.631152543294,67887.42064087829,81503.20355890787,180684.10039904914,354855.3557513786,45365.968472527675,400221.32422390627,16970.75538412866,2014
16,Álvaro de Carvalho,4202.0804956984575,2218.376553493785,17769.353424333352,14268.379217901856,38458.189691427455,1247.0843420278497,39705.2740334553,8266.765361951968,2014
17,Alvinlândia,9532.458776033092,2757.5325372550888,13704.656332455548,14397.604252256233,40392.25189799996,789.660421249753,41181.91231924971,13396.848509840505,2014
18,Americana,10507.887009380924,2580237.655471974,938844.2695744844,5277666.919093116,8807256.731148956,1497978.0831200238,10305234.81426898,46726.22283102759,2014
19,Américo Brasiliense,19341.797823402936,209993.17071458226,118717.80281674961,281648.55147968297,629701.3228344178,68292.3151385207,697993.6379729385,18935.83022633511,2014
20,Américo de Campos,27050.992677101098,3513.837373466046,23264.51781548222,30156.8037943164,83986.15166036577,2000.785687874708,85986.93734824048,15016.929330813915,2014
21,Amparo,100018.06585558732,1296530.91196488,260681.46806470634,1241237.0320678093,2898467.477952983,529346.4876316771,3427813.9655846604,50792.96395674155,2014
22,Analândia,22646.743635260627,44411.77568874832,23576.91253370085,41433.03416249071,132068.46602020052,3265.358302431104,135333.8243226316,29875.016406761944,2014
23,Andradina,80204.57983794135,754084.3185101063,194151.75662127597,885897.4631492342,1914338.1181185578,192352.88591735676,2106691.004035915,37830.93009204868,2014
24,Angatuba,103666.2338332092,288114.2973729274,79074.44732130194,237037.86014804404,707892.8386754827,68429.23221080503,776322.0708862877,33575.039827276516,2014
25,Anhembi,32556.000897909238,16193.143064923546,28462.000451956395,27514.733656863027,104725.8780716522,5074.384333867529,109800.26240551972,18109.889890404043,2014
26,Anhumas,23940.479487772795,5814.695417824447,15697.21677450641,16051.83810950723,61504.22978961088,1423.7392695994997,62927.96905921038,16425.99035740287,2014
27,Aparecida,1488.0599752951134,80919.8209748039,136352.2437305245,599064.893062405,817825.0177430285,46663.49032170503,864488.5080647335,24495.310780480944,2014
28,Aparecida d'Oeste,19510.656616570126,13777.672896124033,16206.59441479377,27152.48973464458,76647.41366213252,3699.4065646511694,80346.82022678369,18611.725787997148,2014
29,Apiaí,241525.27322519387,182302.2323688836,84496.96089685906,223535.31265852053,731859.7791494571,34917.69985654284,766777.479006,30914.707051808247,2014
30,Araçariguama,1024.2061421566007,651869.1304765609,94660.16160455372,488254.14474040887,1235807.64296368,278054.3933551008,1513862.0363187809,80981.17237181882,2014
31,Araçatuba,70777.32248457731,1082189.2035190891,611383.6514057466,3829258.2619677032,5593608.439377116,564573.8830652664,6158182.322442383,33196.13777467607,2014
32,Araçoiaba da Serra,23850.360206443434,93345.00982647875,102782.71151176785,247164.93298390452,467143.01452859456,52258.98517624439,519401.99970483896,17696.22839783445,2014
33,Aramina,18152.43012446293,5129.239931998958,20450.800628832676,57502.69772295277,101235.16840824732,9473.466063490238,110708.63447173756,20884.48113030326,2014
34,Arandu,23746.191907338005,6268.750158493474,24258.797675395734,24882.294647153918,79156.03438838113,2408.1048263822554,81564.13921476339,13294.888217565343,2014
35,Arapeí,2831.478576399613,1234.4134643123311,12212.445341323391,6861.120387204801,23139.457769240136,524.6469250444198,23664.104694284557,9553.53439413991,2014
36,Araraquara,99708.7632698768,1543230.885057866,828398.0572857466,4562007.943248479,7033345.648861968,903730.9318720081,7937076.580733976,36518.66671912128,2014
37,Araras,48193.801619012615,1227380.2364623179,440677.1600718156,2134086.024589761,3850337.2227429077,521009.90653006046,4371347.1292729685,35291.79116663546,2014
38,Arco-Íris,13780.742619221788,2780.1524492455737,10376.171405886469,7043.1942743584605,33980.26074871229,646.9682534353719,34627.22900214766,18507.337788427398,2014
39,Arealva,33796.58473068519,10349.257835037843,29318.851152304604,57566.25001253154,131030.94373055917,5476.450953625161,136507.39468418434,17089.057922406653,2014
40,Areias,8233.91085363837,1356.1049980516523,16303.961132051394,9974.88195955379,35868.85894329521,669.6630817703721,36538.52202506558,9761.827952194917,2014
41,Areiópolis,13740.36183691838,9649.26900502076,38298.91644705155,45914.12820328091,107602.6754922716,4152.896801597901,111755.57229386951,10481.670633452402,2014
42,Ariranha,17604.93945656573,186233.74938529363,36008.92388368293,256402.65678514296,496250.26951068523,75563.56824346061,571813.8377541458,64480.58612473453,2014
43,Artur Nogueira,88603.60632425202,190856.28370557807,156128.6265993053,409115.2995866211,844703.8162157566,122021.39178162288,966725.2079973795,20185.104461975225,2014
44,Arujá,24727.148284053113,816633.8451542102,286076.4192636856,2050432.4899459472,3177869.902647896,600608.3088230198,3778478.211470916,46739.62731127666,2014
45,Aspásia,5271.043439237555,2382.4721496451916,9191.047472104518,5855.431297683668,22699.994358670934,468.5601793356006,23168.554538006534,12936.09968621247,2014
46,Assis,38128.94793110428,375647.49061470333,326481.5460944006,1705811.9674129202,2446069.9520531283,260895.46324900037,2706965.4153021285,27696.140859257695,2014
47,Atibaia,140906.62575061337,1409679.2815936317,418349.73049307056,2475845.527118595,4444781.16495591,872044.4178002813,5316825.5827561915,40273.79491092959,2014
48,Auriflama,17819.182605053036,44177.59013138397,52400.644585903676,133508.84915426114,247906.26647660183,15354.562262760504,263260.8287393623,18370.025032402646,2014
49,Avaí,169041.87384945544,11455.85886656508,14995.846489523537,71761.20130216602,267254.78050771006,6553.60314829272,273808.38365600276,53772.2670180681,2014
50,Avanhandava,31367.328817071993,28625.01403899587,43045.888279018596,68792.90319637707,171831.13433146352,10397.499975074445,182228.63430653795,15680.977050730398,2014
51,Avaré,95545.03975085182,338419.6897646546,314621.3288461378,1150795.3167758079,1899381.375137452,169606.20084671283,2068987.5759841648,24376.591450871445,2014
52,Bady Bassitt,14974.071259846974,46227.1286337733,54905.84231689692,143972.82721019874,260079.86942071593,23803.541129482302,283883.4105501982,18438.7769907897,2014
53,Balbinos,8277.365472965535,4073.0283294432493,18782.28389449556,8222.137292477913,39354.814989382256,809.8836201502572,40164.69860953251,10890.64495920079,2014
54,Bálsamo,22365.902932244666,18899.8964076858,30001.74143668736,74918.62594557244,146186.16672219028,11324.042775319554,157510.20949750982,18924.691757480454,2014
55,Bananal,10979.87308360416,44858.49110038212,37761.56894309619,64350.60269129321,157950.53581837568,12070.469986920689,170021.00580529636,16376.517607907566,2014
56,Barão de Antonina,13211.919346192622,2292.900400093247,13793.623917974968,33381.718082829284,62680.161747090126,6403.263094838154,69083.42484192828,21454.479764574,2014
57,Barbosa,19050.116310028967,7205.398218507929,25959.589623925807,26674.237310641198,78889.3414631039,2579.444949854839,81468.78641295874,11870.725107527138,2014
