Cod_ibge,Municipio,coord_centroide_x,coord_centroide_y
3509908,Cananéia,-48.008,-25.018
3520426,Ilha Comprida,-47.718,-24.861
3505401,Barra do Turvo,-48.427,-24.888
3509254,Cajati,-48.195,-24.772
3524600,Jacupiranga,-48.054,-24.777
3536208,Pariquera-Açu,-47.850,-24.678
3522158,Itaoca,-48.839,-24.618
3542800,Ribeira,-49.037,-24.607
3522653,Itapirapuã Paulista,-49.223,-24.569
3542602,Registro,-47.821,-24.504
3520301,Iguape,-47.475,-24.549
3505351,Barra do Chapéu,-49.085,-24.444
3521200,Iporanga,-48.545,-24.512
3507159,Bom Sucesso de Itararé,-49.165,-24.315
3502705,Apiaí,-48.818,-24.421
3523305,Itariri,-47.128,-24.292
3514809,Eldorado,-48.233,-24.495
3537602,Peruíbe,-47.013,-24.279
3543006,Ribeirão Branco,-48.778,-24.256
3532827,Nova Campina,-48.973,-24.190
3517604,Guapiara,-48.556,-24.212
3551801,Sete Barras,-47.934,-24.274
3543253,Ribeirão Grande,-48.359,-24.188
3526100,Juquiá,-47.652,-24.213
3529906,Miracatu,-47.394,-24.195
3531100,Mongaguá,-46.668,-24.070
3537206,Pedro de Toledo,-47.163,-24.163
3541000,Praia Grande,-46.523,-24.016
3522109,Itanhaém,-46.835,-24.092
3551009,São Vicente,-46.488,-23.959
3523206,Itararé,-49.304,-24.080
3553500,Tapiraí,-47.619,-24.008
3518701,Guarujá,-46.236,-23.951
3553856,Taquarivaí,-48.688,-23.943
3526209,Juquitiba,-47.024,-23.955
3510203,Capão Bonito,-48.290,-24.039
3513504,Cubatão,-46.408,-23.865
3549953,São Lourenço da Serra,-46.936,-23.852
3515103,Embu-Guaçu,-46.830,-23.854
3543501,Riversul,-49.448,-23.847
3550209,São Miguel Arcanjo,-47.993,-23.914
3548500,Santos,-46.292,-23.869
3520400,Ilhabela,-45.323,-23.848
3537909,Pilar do Sul,-47.728,-23.856
3544103,Rio Grande da Serra,-46.380,-23.738
3521705,Itaberá,-49.143,-23.871
3522208,Itapecerica da Serra,-46.859,-23.737
3513801,Diadema,-46.611,-23.697
3550704,São Sebastião,-45.606,-23.752
3506359,Bertioga,-46.030,-23.760
3548708,São Bernardo do Campo,-46.551,-23.813
3537800,Piedade,-47.438,-23.787
3543303,Ribeirão Pires,-46.403,-23.701
3529401,Mauá,-46.447,-23.666
3515004,Embu das Artes,-46.852,-23.651
3547809,Santo André,-46.442,-23.727
3548807,São Caetano do Sul,-46.566,-23.626
3519709,Ibiúna,-47.215,-23.802
3552809,Taboão da Serra,-46.786,-23.620
3522406,Itapeva,-48.871,-23.914
3556453,Vargem Grande Paulista,-47.015,-23.621
3545308,Salto de Pirapora,-47.580,-23.653
3513009,Cotia,-46.960,-23.675
3508009,Buri,-48.575,-23.752
3551108,Sarapuí,-47.786,-23.664
3512605,Coronel Macedo,-49.307,-23.630
3557006,Votorantim,-47.406,-23.580
3525003,Jandira,-46.900,-23.544
3515707,Ferraz de Vasconcelos,-46.374,-23.561
3510609,Carapicuíba,-46.842,-23.548
3509452,Campina do Monte Alegre,-48.442,-23.606
3506607,Biritiba Mirim,-46.021,-23.624
3539806,Poá,-46.347,-23.530
3522505,Itapevi,-46.968,-23.551
3522802,Itaporanga,-49.459,-23.673
3500758,Alambari,-47.869,-23.549
3552502,Suzano,-46.311,-23.608
3510500,Caraguatatuba,-45.489,-23.639
3545001,Salesópolis,-45.843,-23.580
3505708,Barueri,-46.879,-23.505
3501152,Alumínio,-47.281,-23.533
3534401,Osasco,-46.789,-23.529
3505005,Barão de Antonina,-49.572,-23.583
3502903,Araçoiaba da Serra,-47.651,-23.544
3528403,Mairinque,-47.229,-23.507
3523107,Itaquaquecetuba,-46.334,-23.461
3550605,São Roque,-47.110,-23.549
3522307,Itapetininga,-48.123,-23.645
3553807,Taquarituba,-49.235,-23.530
3553005,Taguaí,-49.397,-23.474
3547304,Santana de Parnaíba,-46.917,-23.449
3510302,Capela do Alto,-47.731,-23.467
3550308,São Paulo,-46.648,-23.650
3502754,Araçariguama,-47.072,-23.434
3552205,Sorocaba,-47.447,-23.464
3530607,Mogi das Cruzes,-46.186,-23.570
3546009,Santa Branca,-45.863,-23.426
3521002,Iperó,-47.629,-23.404
3509007,Caieiras,-46.745,-23.376
3503901,Arujá,-46.319,-23.386
3539103,Pirapora do Bom Jesus,-46.985,-23.378
3518305,Guararema,-46.058,-23.428
3535606,Paraibuna,-45.642,-23.478
3509205,Cajamar,-46.872,-23.351
3532306,Natividade da Serra,-45.381,-23.415
3518800,Guarulhos,-46.455,-23.403
3535804,Paranapanema,-48.795,-23.438
3554201,Tejupá,-49.307,-23.342
3502200,Angatuba,-48.459,-23.436
3515400,Fartura,-49.520,-23.390
3518503,Guareí,-48.219,-23.370
3516408,Franco da Rocha,-46.736,-23.314
3516309,Francisco Morato,-46.724,-23.274
3521804,Itaí,-49.054,-23.472
3528502,Mairiporã,-46.561,-23.317
3541653,Quadra,-48.039,-23.301
3554003,Tatuí,-47.869,-23.362
3508405,Cabreúva,-47.080,-23.301
3555406,Ubatuba,-45.024,-23.381
3554656,Torre de Pedra,-48.213,-23.250
3524907,Jambeiro,-45.710,-23.279
3507001,Boituva,-47.675,-23.287
3546801,Santa Isabel,-46.242,-23.289
3551207,Sarutaiá,-49.482,-23.257
3556503,Várzea Paulista,-46.825,-23.219
3524402,Jacareí,-45.991,-23.299
3542305,Redenção da Serra,-45.526,-23.253
3523909,Itu,-47.284,-23.307
3509601,Campo Limpo Paulista,-46.760,-23.218
3511607,Cesário Lange,-47.904,-23.216
3511508,Cerquilho,-47.757,-23.187
3554607,Timburi,-49.611,-23.195
3507100,Bom Jesus dos Perdões,-46.479,-23.172
3545209,Salto,-47.303,-23.180
3532405,Nazaré Paulista,-46.367,-23.191
3540606,Porto Feliz,-47.517,-23.230
3503109,Arandu,-49.064,-23.178
3550001,São Luiz do Paraitinga,-45.254,-23.240
3540507,Porangaba,-48.117,-23.173
3525904,Jundiaí,-46.913,-23.194
3538808,Piraju,-49.366,-23.186
3525854,Jumirim,-47.788,-23.099
3524006,Itupeva,-47.068,-23.146
3527306,Louveira,-46.938,-23.084
3537503,Pereiras,-47.979,-23.120
3556701,Vinhedo,-46.979,-23.046
3526308,Lagoinha,-45.206,-23.086
3520509,Indaiatuba,-47.202,-23.106
3504107,Atibaia,-46.587,-23.123
3536109,Pardinho,-48.402,-23.102
3520202,Igaratá,-46.150,-23.135
3542107,Rafard,-47.584,-23.045
3514908,Elias Fausto,-47.370,-23.070
3520905,Ipaussu,-49.608,-23.065
3525201,Jarinu,-46.721,-23.112
3508504,Caçapava,-45.713,-23.104
3510153,Canitar,-49.792,-23.019
3538600,Piracaia,-46.302,-23.047
3506904,Bofete,-48.286,-23.128
3528601,Manduri,-49.304,-23.047
3554102,Taubaté,-45.502,-23.087
3523503,Itatinga,-48.629,-23.153
3557204,Chavantes,-49.727,-23.046
3523404,Itatiba,-46.814,-23.006
3556206,Valinhos,-46.981,-22.975
3506300,Bernardino de Campos,-49.492,-23.030
3530904,Mombuca,-47.602,-22.943
3511409,Cerqueira César,-49.144,-23.060
3533809,Óleo,-49.383,-22.953
