Ano,cod_ibge,Municipio,Furto de veículo 2014,Furto outros 2014,Homicídio culposo outros 2014,Homicídio culposo por acidente de trânsito 2014,Latrocínio 2014,Lesão corporal culposa outras 2014,Lesão corporal culposa por acidente de trânsito 2014,Lesão corporal dolosa 2014,Vítimas de homicídio 2014,Tentativa de homicídio 2014,Total de estupro 2014,Total de Roubo 2014,Indice Criminalidade 2014,Classificação 2014
2014,3500105,Adamantina,8,258,0,2,0,5,250,213,1,3,6,5,0.26441394205725277,Baixo
2014,3500204,Adolfo,1,37,0,0,0,2,2,11,0,1,2,2,0.17498209526054326,Muito Baixo
2014,3500303,Aguai,38,434,0,3,1,0,68,168,2,2,5,63,0.29745824146758987,Baixo
2014,3500402,Aguas da Prata,5,40,0,2,0,2,19,31,1,0,5,2,0.18355696002989466,Muito Baixo
2014,3500501,Aguas de Lindoia,34,191,0,3,0,1,65,87,2,2,7,26,0.27178168436650585,Baixo
2014,3500550,Aguas de Santa Barbara,3,36,0,1,0,0,15,30,0,1,4,3,0.20280618194296293,Baixo
2014,3500600,Aguas de Sao Pedro,5,40,0,1,0,0,16,10,0,0,1,4,0.271880355423133,Baixo
2014,3500709,Agudos,34,388,0,4,0,0,119,288,3,7,19,61,0.36792064655670587,Baixo
2014,3500758,Alambari,5,29,0,1,0,0,11,26,1,1,1,7,0.2069244049003261,Baixo
2014,3500808,Alfredo Marcondes,1,26,0,1,0,0,8,14,0,0,1,0,0.15883972367638285,Muito Baixo
2014,3500907,Altair,4,17,1,0,0,0,4,27,0,1,2,1,0.28332009624976673,Baixo
2014,3501004,Altinopolis,14,136,1,4,0,2,43,76,3,5,6,7,0.2383378235437119,Baixo
2014,3501103,Alto Alegre,0,26,0,0,0,0,8,11,0,1,0,1,0.12054746095271314,Muito Baixo
2014,3501152,Aluminio,9,138,0,4,0,2,37,68,2,3,10,12,0.20061902285391792,Baixo
2014,3501202,Alvares Florence,0,34,0,1,0,2,13,40,0,1,4,2,0.42958155994426894,Médio
2014,3501301,Alvares Machado,10,150,0,3,0,0,90,160,2,9,8,17,0.257100667856137,Baixo
2014,3501400,Alvaro de Carvalho,0,20,0,0,0,0,7,20,0,1,0,1,0.15315016883352156,Muito Baixo
2014,3501509,Alvinlandia,2,20,0,1,0,0,2,24,0,0,5,1,0.33349232269037815,Baixo
2014,3501608,Americana,1145,2658,1,34,0,10,1359,645,10,11,19,715,0.24619622827561488,Baixo
2014,3501707,Americo Brasiliense,39,214,0,5,0,2,25,156,7,7,18,62,0.2034156390314311,Baixo
2014,3501806,Americo de Campos,6,51,0,0,0,1,16,33,0,1,4,3,0.26385411715786994,Baixo
2014,3501905,Amparo,89,536,1,9,0,3,305,301,3,14,17,73,0.22128506499060865,Baixo
2014,3502002,Analandia,3,39,0,1,0,0,7,49,0,1,0,6,0.46097205113439743,Médio
2014,3502101,Andradina,59,675,0,9,0,5,336,354,11,25,15,50,0.3168931391812503,Baixo
2014,3502200,Angatuba,20,224,1,9,0,0,40,137,0,3,7,14,0.2984225154934696,Baixo
2014,3502309,Anhembi,1,21,0,1,0,0,11,10,0,0,6,6,0.07013576140118,Muito Baixo
2014,3502408,Anhumas,1,27,0,1,0,0,7,21,0,0,1,0,0.23911281422224506,Baixo
2014,3502507,Aparecida,34,1067,1,4,0,0,153,151,6,12,6,152,0.44262247154679757,Médio
